skeptical, adj. 怀疑的
empiricism," n. 经验主义, 经验论"
peacefully," adv. 宁静地,安祥地,爱好和平地,喜安静地"
psychologist, n. 心理学家
interchangeable, adj. 可互换的
pianist, n. 钢琴家
naturalist," n. 自然主义者, 博物学者"
persistent," adj. 固执的,坚持的,连续的"
plaintiff, n. 原告
conjecture," v.&amp;n. 推测,臆测"
structuralist, n. 构造主义者，结构语言学家
nonetheless," adv. 尽管如此(仍然)
conj. 尽管如此(仍然)"
underway," n. 下穿道，在航
adj. 正在进行中的"
moratorium," n. 延期偿付, 延期偿付期间"
colonist," n. 殖民地居民, 殖民者"
cascade," n. 瀑布，[电]串联
v. 瀑布似地落下，（将...）连结，串联"
contemplate," vt. 注视,沉思,打算"
hypothesis," n. 假设, 猜测, 前提"
bombard, v. 炮击
illusionist, n. 魔术师，错觉艺术手法艺术家，物质世界幻觉论者
comedy," n. 喜剧,滑稽, 幽默事件"
simulation," n. 模拟,仿真,赝品"
interstellar, adj. 星际的
exuberant," adj. 繁茂的, 丰富的，充满活力的"
infinitely," adv. 无限地, 无穷地"
agitator, n. 鼓动者，搅拌器
breakthrough, n. 突破
refinement," n. 精致, 高尚, 精巧"
impinge," v. 冲击,撞击
vi. 侵犯"
melancholy," n. 忧沉, 悲哀, 愁思
adj. 忧沉的, 使人悲伤的, 愁思的"
reiterate," vt. 反覆地说,反覆地做"
determinism, n. 决定论，命定性
rendering," n. 翻译, 表现, 描写"
vascular," adj. 血管的, 脉管的，充满活力的"
southward," n. 南方
adj. 在南方的, 往南方的
adv. 往南"
helix, n. 螺旋，螺旋状物，耳轮
industrious," adj. 勤劳的, 勤奋的"
incumbent," adj. 凭依的, 依靠的, 负有义务的
n. 领圣职的俸禄的牧师, 在职者"
converter," n. 转换器
=convertor"
predominate," v. 掌握,控制,成为主流"
circlet," n. 戒指, 小圈"
effortless," adj. 容易的, 不费力气的"
retrieve," vt. 挽回,恢复,回忆,补偿
vi. 找回猎物
n. 取回,恢复"
revert," vi. 恢复,复归,回到"
servitude," n. 苦役, 奴役
n. [法]役劝"
humanity, n. 人类 人性;人道;慈爱
urban, adj. 城市的
vindictive," adj. 有报仇心的, 怀恨的, 惩罚的"
jeopardy, n. 危险
hem," n. 边缘
v. 缝边,包围,关闭"
gravestone, n. 墓碑
timeless," adj. 无限的, 永恒的"
salvation," n. 得救,拯救,赎罪"
refraction," n. 折光, 折射"
retrospect," n.回顾，回想
vt.&vi.回顾； 追溯"
buildup, n. 增强，宣传
volcanism," n. 火山作用, 火山现象"
attune," vt. 调, 使...合调, 使...相合"
acrimonious, adj. 尖刻的
siege," n. 包围, 围攻"
deviate," vt. 使偏离, 脱离
vi. 违背,偏离
n. 叛离者,偏差, 不正常的人或物
adj. 离经叛道的"
harangue," n. 长篇大论；高谈阔论；热烈的演说
vt. 向…滔滔不绝地演讲；大声训斥
vi. 高谈阔论；慷慨陈词"
labyrinthine," adj. 复杂的, 如迷宫的"
absorption," n. 吸收,全神贯注"
disappointment, n. 失望，令人失望的人或事
disdain," n. 轻蔑
v. 蔑视"
thematic, adj. 主题的，[语]词干的，[音]主旋律的
stasis, n. 静止，[医]血行停滞，淤滞
predation, 掠夺行为
cellular," adj. 细胞的,松织的
n. 手机"
deploy," vt. &vi. 展开,配置,部署"
censorious, adj. 苛求的，爱挑剔的
linear, adj. 直线的，线性的，长度的
glacial," adj. 冰的, 冰川(期)的"
tomography, n. 断层摄影术
distortion," n. 扭曲, 变形, 曲解"
fathom," n. 测量深度, 看穿, 了解，英寻（=6英尺)
vi. 测量深度
vt. 彻底了解，测深"
sovereign," n. 元首,金镑
adj. 具有主权的,至高无上的,极好的,完全的"
shiny," adj. 有光泽的, 发光的, 辉煌的"
speculate," vt. 推测,好奇
vi. 深思,投机"
supernova, n. ［天］超新星
saccharin, n. 糖精
sluggish," adj. 懒惰的,迟钝的,无精打采的"
prerequisite," n. 先决条件
adj. 作为前提的, 必备的"
commonwealth," n. 共和国,联邦"
antidote," n. 解毒剂, 解药
n.(喻)矫正方法"
postindustrial," adj.信息化的,脱工业化"
ethical,adj. 伦理的；道德的；凭处方出售的
newsletter," n. 时事通讯, 时事分析, 时事传报"
habitat," n. (动植物的)产地,栖息地"
imprecision," n. 不精确, 不正确"
metropolitan," n. 大都市的居民,大主教,母国的居民
adj. 大都市的,大主教区的,母国的"
microscopic, adj. 显微镜的，极小的，微观的
affirm," vt. 证实,断言,肯定
vi. 断言,申明"
synoptic," adj. 摘要的, 纵观全局的
Synoptic
adj. 与《新约》前三本福音书有关的"
firefly, n. 萤火虫
ally," n. 盟友,同盟国
vt. &vi. 联盟,联合，同盟"
historically, adv. 历史上地
scant," adj. 不充分的, 不足的
v. 减缩, 限制，忽略"
equitable," adj. 公平的, 公正的"
equivocal," adj. 意义不明确的, 模棱两可的"
symmetrical, adj. 对称的
eradicate," v. 根除, 扑减, 根绝"
vestige," n. 遗迹, 退化的器官"
savagery, n. 野性，残忍，野蛮状态
synthesis," n. 合成,综合,推理"
systematic," adj. 有系统的, 分类的, 体系的"
architect, n. 建筑师
outlandish, adj. 外国味的(奇异的)
legislator, n. 立法者
extinguish," v. 熄减, 消减, 偿清"
predisposition, n. 倾向，癖性，（易患病的）体质
overlie," vt. 放上面(覆盖在...上面,叠加)"
testify," vt.& vi. 证明,作证,声明"
purposely, adv. 故意地
fable, n. 寓言
forbearance," n. 节制, 自制, 忍耐
n. 【法律】债务偿还期的延展"
aldehyde," n. 醛, 乙醛"
coinage," n. 造币，货币制度，硬币
n. 创造新词"
believable, adj. 可相信的
maize, n. 玉米
majestic," adj. 宏伟的, 高贵的, 壮丽的"
inception," n. 开端,开始,取得学位"
hallucinogenic, adj. 引起幻觉的
thermostat, n. 恒温器
thunderstorm, n. 雷暴雨(大雷雨)
discriminate," vt. 区分，区别对待
vi. 辨别，差别对待"
presume," vt. 姑且认定，假定，推测，认为是理所当然
vi. 假设，越权行事"
transcontinental," adj. 横贯大陆的,大陆那边的"
hallucinogen, n. 迷幻剂
temperament," n. 气质, 性质, 性情"
opium," n. 鸦片, 麻醉剂"
alternatively," adv. 二者择一地, 做为选择"
traverse," n. 横贯, 横木
v. 横过, 铭刻"
opulent," adj. 富裕的, 充足的"
indifference," n. 不重视, 无兴趣, 漠不关心"
memorable," n. 值得纪念的事物
adj. 值得纪念的"
gluttony, n. 暴饮暴食
homeowner," n. 自己拥有住房者, (住自己房子的)私房屋主"
downplay, vt. 不予重视，对...低估
underestimate," n. 低估
v. 低估"
unsure," adj. 不肯定的, 不确定的, 没有自信的"
broach," n. 烧叉肉, 叉子, 凿子，拉刀
n. 胸针（=brooch）
vt. 钻孔开启，凿大，初次提起，开始商讨
vi. （船）突然横转"
faithfully," adv. 忠实, 诚心诚意, 深信着"
atelier, n. 画室，工作间
frustrate," vt. 挫败,击败,破坏
adj. 无益的,挫败的,挫折的"
satirize, v. 讽刺
burrow," n. (兔子等)所掘的地洞
v. 挖洞
vi. 翻寻,挖洞
vt. 挖掘(洞穴),钻进"
academician," n. 学者, 大学教师, 知识分子,学会会员"
maximize," v. 取...最大值,最佳化
[计算机] 最大化"
forebode," v. 预兆,凶兆
vt. 预兆"
patronage," n. 赞助, 光顾, 任免权"
geographical," adj. 地理的,地理学的
=geographic"
pejorative," n. 轻蔑语
adj. 贬低的, 轻蔑的"
auspices," n. 资助, 赞助"
perception," n. 感知, 认识, 观念"
visibly, adv. 明显地
perceptual," adj. 感性的, 知觉的"
perimeter," n. 周长, 周界, 边缘"
perennial," adj. 四季不断的, 继续多年的，永久的
n.多年生植物"
equivocation, n. 模糊话，含糊其辞
bane," n. 毒药,灭亡的原因"
theoretician, n. 精通于理论的人，理论家
paucity," n. 少数,少量,缺乏"
teller," n. 出纳员，叙述者，计票人
Teller：特勒（姓氏）"
unbiased, adj. 公正的
redesign, vt. 重新设计
herbivore, n. 草食动物
void," n. 空虚,空白, 真空
adj. 空的,缺乏的,无效的
vt. 清空,释放,取消,离开
vi. 排泄"
recoverable, adj. 可恢复的，可收回的
amplification," n. 扩大, 扩充，膨胀
n. 详述, 引伸，推广
n. 增幅, 放大(率), 放大倍数[系数]"
methodology," n. 一套方法,方法学"
weaver," n. 织布者, 织工"
famed," adj. 著名的
动词fame的过去式和过去分词形式"
pose," n. 姿势,姿态,装模作样
vt. 提出(问题),引起,定格
vi. 摆姿势,装模作样"
intercellular, adj. 在细胞间的
thundercloud, n. 雷雨云
convoluted," adj. 旋绕的, 费解的
动词convolute的过去式和过去分词"
glacier," n. 冰河, 冰川"
seawater, 海水
scriptural," adj. 圣经的, 依据圣经的"
gland, n. 腺
preeminent," adj. 卓越的，优秀的, 超群的"
evocation," n. 引起，唤起
n. &lt;古&gt; 召唤，招魂"
fungus," n. 真菌, 霉菌
（复数为funguses或fungi)"
organizer, n. 组织者
antedate," vt. 使...提前发生, 先于, 预料
=predate
n. 比实际早的日期"
bilingual," adj. 双语的,用两种语言表达或书写的"
breakdown," n. 崩溃,故障,分类,腐烂,失败,一种街舞"
indignation," n. 愤怒, 愤慨, 义愤"
yeast, n. 酵母
pasteurization, n. 巴氏消毒法，加热杀菌法
mite, n. 小虫，微小的东西，极少量
cortex, n. 外皮，（大脑）皮层
recast," v. 彻底改动, 重做"
whimsy," n. 怪念头, 心情浮动, 反覆无常"
acknowledgement," n. 承认, 确认;(作者的)鸣谢;致谢"
ungainly," adj. 笨拙的, 不雅的，难用的"
testable, adj. 可试验的
disapproval, n. 不赞成
autocratic," adj. 独裁的, 专制的, 独断专行的"
prudence," n. 审慎, 慎重, 精心明辨"
cling," n. 紧抓,紧贴
vi. 粘紧,附着,紧贴"
enjoin, vt. 命令，嘱咐，禁止
hospitable, adj. 好客的，殷勤的，易于接受的，宜人的
unprofessional," adj. 非职业性的(非专业的, 外行的, 违反行业惯例的)"
illustrative," adj. 说明的, 解说的, 做例证的"
discrepant, adj. 相差的，有差异的，矛盾的
commence, v. 开始；着手；<英>获得学位
commodity," n. 商品, 日用品"
commonplace," adj. 平凡的, 陈腐的
n. 常事, 老生常谈, 普通的东西"
homogeneity," n. 同种, 同质, 同次性"
critique," n. 批评,批评法,评论"
entrant," n. (参加比赛的)竞赛者, 新就业者, 新成员"
luminosity," n. 光明,光辉,光度
[计算机] 光度"
supplier," n. 供应者, 供应厂商, 供应国"
molecular, adj. 分子的
compensatory," adj. 赔偿的, 补偿的"
acidity," n. 酸性, 酸度"
concession," n. 让步, 妥协, 特许权"
outlying," adj. 远离中心的, 偏僻的
adj. 在外侧的"
democrat, n.民主主义者，民主人士； 民主党人； <美>民主党党员
satire," n. 讽刺文, 讽刺"
settler, n. 移居者；殖民者
reproduction," n. 再现, 复制, 生殖，幼树"
acrobat, n. 杂技演员，见风使舵的人
conformity," n. 适合,一致,相似"
impugn," vt. 责难, 抨击, 攻击"
isolation," n. 隔离, 孤立"
degrade," vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
spurious," adj. 假的, 伪造的"
renunciation," n. 放弃,废弃,弃权"
induce," vt. 引诱,导致,催生"
revenue," n. 总收入; 财政收入, 税收
n. 税务局"
untruth," n. 不真实, 虚伪, 谎言"
cytoplasm, n. 细胞质
pretense," n. 借口, 虚假, 伪装"
inert," adj. 惰性的, 迟钝的"
announcement," n. 公告,发表,告知"
inflict," vt. 施以,加害,使遭受, 折磨"
metaphorical," adj. 隐喻性的, 比喻性的"
integral," adj. 构成整体所必需的,完整的
n. [数学] 积分, 完整, 部分"
rudimentary," adj. 基本的(初步的, 起码的, 根本的)"
interface," n. 界面,接触面
vt. 连接,作接口
vi. 连接"
elusive," adj. 难懂的,难捉摸的,难记的,逃避的"
coastline, n. 海岸线
defiant," adj. 挑衅的, 目中无人"
irrigation, n. 灌溉
shadowy," adj. 有阴影的,  朦胧的，虚幻的"
jealousy, n. 妒忌
lactic," adj. 乳的,乳汁的,由乳汁取得的"
rejection," n. 拒绝, 被弃, 被抛弃的实例"
dehumanize," v. 使失掉人性, 使成兽性"
descent," n. 下落,家世,倾斜,侵袭"
invoke," vt. 求助,用咒语召唤,请求,应用,引起
[计算机] 调用"
proposition," n. （难办或诱人的）事情，任务；见解；观点；（美国的）法律修正案；提议；建议；提案
vt. 向…提出下流的要求；向…提出猥亵的要求"
statehood, n. 州的状态或地位，国家地位
devour," vt. 吞食,耗尽,吞没,贪婪的享用"
inconvenient, adj. 不方便的
wanderlust," n. 漫游癖, 旅游热"
indefensible, adj. 不能防卫的，无法辩解的，不合理的
legislature, n. 立法机关
watershed, n. 流域，分水岭，转折点
loyalist, n. (对统治者)效忠者
pottery, n. 陶器
amplitude," n. 广阔, 充足, 增幅
n. 振幅、波幅(物理)"
reservoir," n. 水库,蓄水池,积蓄,储藏"
serenity," n. 宁静, 沉着"
snail, n. 蜗牛
encumber," v. 妨害, 阻害"
akin," adj. 血族的, 同族的, 同种的"
shun," v. 避开, 规避, 避免"
lavish," adj. 大方的,丰富的,浪费的
vt. 浪费,慷慨给予"
securely," adv. 安心地, 安全地"
intransigent," adj. 非妥协性的
n. 不妥协的人"
auspicious," adj. 吉兆的, 幸运的,有利的"
openness, n. 开放，空旷，公开，直率，松脆
legitimate," adj. 合法的, 正当的, 合理的, 世袭的
vt. 使合法, 授权, 宣布...为合法"
unconvincing, adj. 不足以令人相信的
sunspot, n. 太阳的黑点，黑子
fragmentation," n.分裂, 破碎"
sabotage," n. 怠工,破坏活动,破坏
vt. 从事破坏活动,妨害,破坏"
supplant," v. 排挤,取代
vt. (用策略等)替换"
enforcement," n. 厉行, 执行, 强制"
appreciable," adj. 可感知的, 可评估的，很可观的"
offshore," adj. 海面的,吹向海面的
adv. 向海面"
deleterious," adj. 有害的, 有毒的"
sophistication," n. 老练，精明，复杂，精密，有教养，诡辩, 强词夺理"
overthrow," v. 推翻，打倒, 颠覆
n. 推翻, 瓦解, 颠覆"
totalitarian," adj. 极权主义的
n. 极权主义者"
didactic," adj. 教诲的, 说教的"
gifted," adj. 有天赋的, 有才华的"
advantageous, adj. 有利的，有助的，有益的
victimize," vt. 使牺牲, 使受骗"
distrust," n. 不信任
vt. 不信任"
subjection," n. 征服, 服从, 隶属"
contentment, n. 满足，使人满足的事
finicky," adj. 苛求的(过分讲究的,小题大作的)"
entertainment, n. 娱乐
sanguine," adj. 乐天的, 自信的，红润的
n. 血红色"
precondition," n. 先决条件，前提
vt. 预先准备"
legally, adv. 合法地，法律上地
approbation," n. 认可, 嘉许"
apt, adj. 恰当的；有…倾向的；灵敏的
symmetry," n. 对称(性), 匀称, 整齐"
realist, n. 现实主义者，唯实论者
imperial," adj. 帝国(王)的,至尊的,特大的
n. 皇帝, 女皇, 马车车顶, 特大号, 特级品"
trailblazer," n. 烧旷野造路的人,开拓者"
irritation," n. 刺激, 烦恼, 刺激物"
mildly," adv. 柔和地, 和善地, 谨慎地"
conduction, n. 传导
impolitic," adj. 不明智的, 失策的"
honeybee, n. 蜜蜂
consensus," n. 共识，一致，合意
n. [生理]交感"
symbiotic," adj. 共栖的, 共生的"
investigative," adj. 调查的, 调查性质的"
descriptive," adj. 描述的, 叙述的
[计算机] 描述性的"
invariable," n. 不变的东西,常数
adj. 不变的,不易的,常数的"
extant, adj. 现存的
thermal," adj. 热的,热量的,保热的
n. 上升的热气流"
subvert," vt. 推翻, 颠覆, 毁减，使道德败坏或不忠"
restatement," n. 再声明, 重述"
cohesive," adj. 粘性的(有结合性的, 有粘聚性的)"
territorial," adj. 领土的, 土地的, 地方的
n. 地方自卫队的士兵"
manifest," n. 载货单,运货单,旅客名单
adj. 显然的,明白的
vt. 显示, 证实, 出示"
iconoclastic, adj. 批评传统信仰（或习俗思想）的
regress," v. 倒退，回归，退化
n. 退回 回归，逆向思维"
differential," adj. 微分的；差别的；特异的
n. 微分；差别差额"
segregation," n. (种族)隔离,被隔离的部分"
substitution," n. 代理,替换,交换"
endocrine," adj. 内分泌的
n. 内分泌，内分泌腺"
overlay, 覆盖
divest," v. 剥除, 脱去,剥夺，摆脱"
comic," n. 连环图画,喜剧演员,喜剧元素
adj. 滑稽的,有趣的,喜剧的"
puritanical, adj. 极端拘谨的，有清教徒特点的
detectable," adj. 可发现的(可察觉的,可探测出的,可检波的)"
fore," adj. 在前的, 以前的
adv. 在前面, 在船头
prep. 在前
n. 前头，船头
pref. 前，预先"
fiscal," adj. 财政的,国库的"
overestimate," vt. 过高评价, 过高出价
n. 估计过高, 评价过高, 出价过高"
flaccid," adj. 软弱的, 没气力的, 无活力的"
forsake," v. 放弃, 断念, 抛弃"
topography," n. 地志, 地形学, 地势，剖析图"
twilight," n. 黄昏,微光,略知
v. 使微明"
antiwar, adj. 反战的
breach," n.  裂口,违背, 冲击, 决裂
vt. 违反,在...上打开缺口, 突破
vi. 跃出水面"
inheritance," n. 遗传,遗产,继承,继承物"
inactivity," n. 不活动, 迟钝"
pigment," n. 色素, 颜料
v. 把...加颜色, 变色"
trainee," n. 练习生, 新兵, 训练中的动物"
interdependence, n. 互相依赖
transitory," adj. 暂时的，瞬息的, 短暂的, 片刻的"
lackluster," adj. 无光泽的(暗淡的,无生气的,平凡的)
n. 无光泽(暗淡,无生气,平凡)"
callous," adj. 麻木的, 无情的, 硬结的，起老茧的"
conceive," vt. &vi. 构思,以为,怀孕"
passionate," adj. 热情的, 易怒的, 激情的"
lode," n. 水道，矿脉, 丰富的来源或供给"
confrontation," n. 对审,面对面,面对"
nonpayment, n. 不支付
viral, adj. 病毒性的，病毒引起的
agility," n. 敏捷, 灵活, 轻快"
impermissible, adj. 不允许的(不许可的)
categorize, vt. 分类
informative," adj. 情报的, 使知道消息的, 见闻广博的"
lethargic," adj. 迟钝的(不活泼的,冷淡的,困倦的,昏睡的)"
unwitting," adj. 不知情的,无意识的,不知不觉的"
contentious," adj. 好争吵的,爱争论的,有异议的"
regimental, adj. 团的，团队的
egalitarianism, n. 平均主义
angular," adj. 有角的, 消瘦的, 有尖角的"
yardstick, n. 码尺
homework, n. 家庭作业
ponderous," adj. 笨重的, 笨拙的，乏味的"
unrealistic," adj. 不切实际的, 不实在的"
migrant, n. 移居者
developmental," adj. 发展上的, 进化的，开发的"
popularity," n. 普及,流行"
flatfish, n. 比目鱼，碟鱼类
converge," vi. 聚合,集中于一点
vt. 使集合"
unreliable, adj. 不可靠的
dissident," adj. 意见不同的,不同意的,不赞成的
n. 意见不同的人,不赞成者"
advocacy," n. 拥护, 支持, 鼓吹"
univocal," adj. 单一的意思，意义明确的
n. 单意词汇"
bespeak, v. 证明（某事物）；表示
raucous," adj. 沙声的, 粗声的, 刺耳的"
gloss," n. 光彩, 注释
v. 使光彩, 注释"
bilateral, adj. 双边的
recapitulation," n. 重述要点, 概括, 摘要，[音乐]再现部，[生物]重演(性）发生"
situ, n. 原地，就地，在原处，在施工现场，在原位置
underpinning," n. 支撑,建筑物下面的基础,支柱"
antislavery," n. 反对奴隶制度
adj. 反对奴隶制度的"
chorus," n. 合唱队,歌舞队，齐声说道，副歌部分，
vt. 合唱"
immaturity, n. 不成熟
blackmail," n. 勒索
vt. 勒索，讹诈"
obligation," n. 义务, 责任"
prolific," adj. 多产的, 作品丰富的"
classic," n. 古典作品,杰作,第一流艺术家
adj. 第一流的,最优秀的,古典的"
hitherto," adv. 到目前为止, 迄今"
flavor," n. 滋味, 香料, 风格
vt. 加味于"
recital," n. 背诵,吟诵,详述
n. 独奏会,独唱会"
empowerment, n. 授权
sobriety," n. 清醒, 严肃，节制"
celestial," adj.天的，天空的
n.天人，神仙；（指封建时代的）中国人，天朝之人"
rectitude," n. 诚实, 正直"
pervade," v. 弥漫, 遍及, 漫延"
disconcert," vt. 使困惑, 使仓皇失措, 破坏"
thenceforth," adv. 从那时, 其后"
alumina, n. 矾土
handmade, adj. 手工制作的
unregulated, adj. 不规范的，紊乱的，未校准的
idealism," n. 唯心论，唯心主义, 观念论, 理想主义"
incinerator," n. 焚烧装置,焚烧炉,焚尸炉"
rally," n. 集会,重振旗鼓,示威运动,回合
vi. (人)集合起来,重整旗鼓,恢复精神
vt. 重新召集,激励,嘲弄"
hypocritical," adj. 伪善的,伪善者的"
alphabetic," adj. 照字母次序的, 字母的"
inadequacy," n. 不适当, 不十分, 不完全"
corroborative, adj. 确证的
parliamentary," adj. 国会的, 议会的, 议会制度的"
alleged, adj. 被说成的，声称的，有嫌疑的
comply," vi. 顺从,答应"
gigantic, adj. 巨大的
physiological," adj. 生理的, 生理学的"
confirmation," n. 确认, 证实, 基督教的坚信礼"
modernism," n. 现代主义, 现代派"
inaccurate, adj. 不准确的，错误的
allegory, n. 寓言，讽喻，寓意
improvise," v. 即席写作,即席即兴,即席而作"
recourse," n. 依赖, 求助, 追索权"
subservience, n. 有用，从属，奉承
estimable," adj. 可估计的，值得尊敬的
adj."
sceptic," n. 怀疑(论)者, 多疑的人，无神论者
=skeptic"
populate," v. 构成人口, 居住于"
indict," v. 起诉, 控告, 指控"
tactic," n. 战略,策略
adj. 战术的,有策略的"
decipher, vt. 译解
foreshadow," v. 预示,预兆
vt. 预兆"
rarity," n. 稀薄，稀有, 珍品"
deferential, adj. 恭敬的
unorthodox," adj. 非正统的, 异端的"
inspiration," n. 灵感,吸入,鼓舞人心(的东西)"
immanent," adj. 普遍存在的, 内在的"
hierarchy," n. 等级制度，层级[计],统治集团"
convection," n. 传达, 传导, 对流"
